molregno,Compound ChEMBL ID
1674785,CHEMBL3185494
377969,CHEMBL226915
649960,CHEMBL1172178
1672394,CHEMBL3183103
1384652,CHEMBL2112401
463117,CHEMBL448170
328739,CHEMBL196874
465341,CHEMBL447467
1376237,CHEMBL2103967
1290556,CHEMBL1969265
1579278,CHEMBL2420487
372513,CHEMBL374663
164683,CHEMBL102084
205595,CHEMBL127253
1729414,CHEMBL3228784
751017,CHEMBL1327133
1833138,CHEMBL3402922
1753163,CHEMBL3275134
610005,CHEMBL607183
988723,CHEMBL1564839
251817,CHEMBL356189
1414349,CHEMBL2142398
185390,CHEMBL324784
275257,CHEMBL163957
412459,CHEMBL393506
1062557,CHEMBL1650634
1248877,CHEMBL1908958
1161941,CHEMBL1800872
391618,CHEMBL390903
1378319,CHEMBL2106049
1611769,CHEMBL3103695
515234,CHEMBL458630
1473842,CHEMBL2238304
268896,CHEMBL345817
266546,CHEMBL352170
254320,CHEMBL153097
2013731,CHEMBL3680627
189051,CHEMBL116168
891779,CHEMBL1467895
248303,CHEMBL358865
1612963,CHEMBL3104877
141806,CHEMBL87153
1739838,CHEMBL3247216
993630,CHEMBL1569746
39633,CHEMBL29811
77999,CHEMBL407287
87949,CHEMBL56554
262842,CHEMBL345248
260531,CHEMBL154522
1428717,CHEMBL2165281
1346578,CHEMBL2037038
610516,CHEMBL1081234
1216600,CHEMBL1876029
773361,CHEMBL1349477
712101,CHEMBL1276137
171308,CHEMBL321136
545311,CHEMBL543577
651514,CHEMBL1173717
284900,CHEMBL172620
95372,CHEMBL62218
547681,CHEMBL1703
1067598,CHEMBL1668789
1376749,CHEMBL2104479
1429835,CHEMBL2170352
644580,CHEMBL1163049
1366767,CHEMBL2089088
762973,CHEMBL1339089
863786,CHEMBL1439902
711884,CHEMBL1275923
1739884,CHEMBL3247262
1515311,CHEMBL2316226
674647,CHEMBL1200696
1036022,CHEMBL1612138
1734129,CHEMBL3235604
1672895,CHEMBL3183604
115700,CHEMBL304743
321726,CHEMBL192034
1325100,CHEMBL2003809
194999,CHEMBL442206
1819905,CHEMBL3355773
1249398,CHEMBL1909811
1289375,CHEMBL1968084
258740,CHEMBL155722
2096365,CHEMBL3833314
